,Name,Website,Phone,Address,Location,City,State,Rating,Reviews
0,New York General Dentistry,newyorkgeneraldentistry.com,+1 212-838-0842,"133 E 58th St Ste 409, New York, NY 10022, United States","Q26J+QC New York, USA", New York,NY,5.0,287
1,Pearl Dental NYC,pearldentalnyc.com,+1 212-344-9317,"233 Broadway Suite 1801, New York, NY 10279, United States","PX6R+WR New York, USA", New York,NY,4.9,318
2,Rockefeller Dental Group,rockefellerdentalgroup.com,+1 212-246-9070,"630 5th Ave #1870, New York, NY 10111, United States","Q25F+H3 New York, USA", New York,NY,5.0,193
3,New York Dental Office,newyorkdentaloffice.com,+1 212-548-3261,"245 E 63rd St #110, New York, NY 10065, United States","Q27P+8W New York, USA", New York,NY,4.9,299
4,FiDi Dental,fididentalnyc.com,+1 212-742-2070,"125 Maiden Ln #17b, New York, NY 10038, United States","PX4V+MC New York, USA", New York,NY,4.9,338
5,Manhattan Dentist,manhattannydentist.com,+1 212-867-2730,"551 5th Ave rm 1114, New York, NY 10176, United States","Q24C+5C New York, USA", New York,NY,5.0,62
6,Diamond District Dental NYC,dddentalnyc.com,+1 212-759-5595,"10 W 46th St #1401, New York, NY 10036, United States","Q249+FX New York, USA", New York,NY,4.9,478
7,N Y Dental & Medical Management,,+1 212-868-2507,"350 5th Ave # 2618, New York, NY 10118, United States","P2X7+9R New York, USA", New York,NY,2.3,4
8,Manhattan Dental Studio,manhattandentalstudio.com,+1 212-685-2476,"358 5th Ave #1005, New York, NY 10001, United States","P2X8+G4 New York, USA", New York,NY,5.0,117
9,Herald Square Dental,heraldsquarecosmeticdental.com,+1 212-689-0024,"224 W 35th St 16th Floor, Suite 1600, New York, NY 10001, United States","Q225+RG New York, USA", New York,NY,4.8,313
10,Advanced Dental Arts NYC,advanceddentalartsnyc.com,+1 212-388-1170,"55 E 9th St, New York, NY 10003, United States","P2J4+MV New York, USA", New York,NY,4.7,269
11,NYC Dental Wellness PLLC,,+1 212-750-3988,"200 Central Park S Suite 109, New York, NY 10019, United States","Q28C+M5 New York, USA", New York,NY,5.0,24
12,Manhattan Dental Arts,manhattandentalarts.com,+1 212-247-2330,"1995 Broadway Suite 200, New York, NY 10023, United States","Q2G8+6W New York, USA", New York,NY,4.6,288
13,Gotham Dental,gothamdental.com,+1 212-253-1850,"5 E 19th St 5th floor, New York, NY 10003, United States","P2Q5+JP New York, USA", New York,NY,4.9,129
14,Albany Upstate Dental,albanyupstatedental.com,+1 518-465-0808,"540 Broadway #100, Albany, NY 12207, United States","M62X+9R Albany, New York, USA", Albany,NY,4.4,178
15,SmilesNY,smilesny.com,+1 212-752-6537,"220 East 63rd Street Lobby F, 220 E 63rd St, New York, NY 10065, United States",, New York,NY,5.0,209
16,Soul Dental Chelsea,souldentalnyc.com,+1 646-502-8416,"200 W 15th St Suite #1a, New York, NY 10011, United States","P2Q2+P4 New York, USA", New York,NY,4.7,453
17,Expert Dental PC,expertdentalnyc.com,+1 212-682-2965,"110 E 40th St #104, New York, NY 10016, United States","Q22C+4Q New York, USA", New York,NY,4.6,"1,219"
18,New York Dental Group,nydentalgroup.com,+1 607-777-1340,"4501 Vestal Pkwy E Suite 1, Vestal, NY 13850, United States",, Vestal,NY,4.3,878
19,Central Park West Dentistry,cpwdentistry.com,+1 212-579-8885,"25 Central Park West Suite 1B, New York, NY 10023, United States",, New York,NY,4.9,112
20,Central Ave Dental,centralavedentalny.com,+1 212-571-0033,"225 Broadway # 705, New York, NY 10007, United States","PX6R+QH New York, USA", New York,NY,5.0,267
21,The Exchange Dental Group,theexchangedentalgroup.com,+1 212-422-9229,"39 Broadway Suite 2115, New York, NY 10006, United States","PX4P+GM New York, USA", New York,NY,4.9,854
22,Lumia Dental PLLC,lumiadental.com,+1 212-287-1275,"160 Broadway # 1004, New York, NY 10038, United States","PX5R+P2 New York, USA", New York,NY,4.9,353
23,New York Dental Studio,nydentalstudio.com,+1 646-349-1080,"30 E 60th St suite 2402, New York, NY 10022, United States","Q27H+FW New York, USA", New York,NY,4.8,159
24,State University of New York at Buffalo School of Dental Medicine,dental.buffalo.edu,+1 716-829-2824,"320 Hayes Rd, Buffalo, NY 14215, United States",, Buffalo,NY,3.8,13
25,Brite Dental Spa,britedentalnyc.com,+1 646-628-1211,"718 10th Ave, New York, NY 10019, United States",, New York,NY,4.6,272
26,Monroe Dental Group,smilesinorangecounty.com,+1 845-782-5040,"809 NY-208, Monroe, NY 10950, United States","9R96+54 Monroe, New York, USA", Monroe,NY,4.6,148
27,Aesthetic Dentistry of New York,adnysmiles.com,+1 212-840-1000,"1 Rockefeller Plaza #2206, New York, NY 10020, United States","Q25C+8M New York, USA", New York,NY,4.1,9
28,Harlem Dental Associates,harlemdentalassociates.com,+1 212-368-6700,"2225 5th Ave, New York, NY 10037, United States","R377+55 New York, USA", New York,NY,4.9,199
29,Dental House,dentalhousenyc.com,+1 212-888-3384,"41 Seventh Ave. (At, W 13th St, New York, NY 10011, United States","P2Q2+52 New York, USA", New York,NY,5.0,426
30,NYC Smile Spa,nycsmilespa.com,+1 646-374-2242,"30 E 60th St Suite 1201, New York, NY 10022, United States","Q27H+FW New York, USA", New York,NY,4.9,282
31,NYC Smile Design,nycsmiledesign.com,+1 212-452-3344,"8 E 84th St, New York, NY 10028, United States","Q2HQ+WP New York, USA", New York,NY,4.8,218
32,LK advanced dentistry,lkadnyc.com,+1 212-600-5221,"330 W 58th St #309, New York, NY 10019, United States","Q298+3G New York, USA", New York,NY,4.9,63
33,Park 56 Dental,park56dental.com,+1 212-826-2322,"120 E 56th St #610, New York, NY 10022, United States","Q26H+5P New York, USA", New York,NY,4.9,670
34,Tend Grand Central,hellotend.com,+1 212-686-3686,"230 Park Avenue Suite ST-1C, New York, NY 10169, United States","Q23F+VG New York, USA", New York,NY,4.5,560
35,New York Smile Institute,nysi.org,+1 212-319-6363,"693 5th Ave 14th floor, New York, NY 10022, United States","Q26G+F3 New York, USA", New York,NY,5.0,163
36,Koppelman Dental,koppelmandental.com,+1 212-382-3782,"7 W 45th St 2nd floor, New York, NY 10036, United States","Q249+9X New York, USA", New York,NY,5.0,733
37,209 NYC Dental,209nycdental.com,+1 212-355-2290,"209 E 56th St 1st floor, New York, NY 10022, United States","Q25M+Q5 New York, USA", New York,NY,4.9,"1,492"
38,Upper East Smiles,uppereastsmiles.com,+1 646-864-1808,"261 E 78th St, New York, NY 10075, United States","Q2FV+6J New York, USA", New York,NY,4.6,85
39,Dentist,,+1 646-820-8230,"121 E 60th St Suite 7C, New York, NY 10022, United States","Q27J+8M New York, USA", New York,NY,5.0,2
44,State University of New York at Buffalo School of Dental Medicine,dental.buffalo.edu,+1 716-829-2824,"320 Hayes Rd, Buffalo, NY 14215, United States","X53M+R2 Buffalo, New York, USA", Buffalo,NY,3.8,13
45,Brite Dental Spa,britedentalnyc.com,+1 646-628-1211,"718 10th Ave, New York, NY 10019, United States","Q275+M6 New York, USA", New York,NY,4.6,272
60,42nd Street Dental,mynyc-dentist.com,+1 212-867-8862,"120 E 42nd St, New York, NY 10017, United States","Q22F+H7 New York, USA", New York,NY,4.9,227
61,"Lenox Dental Arts, Dental Work NY",dentalworkny.com,+1 877-573-9003,"335 Malcolm X Blvd, New York, NY 10027, United States","R354+J2 New York, USA", New York,NY,4.0,166
62,ProDent NY | General & Implant Dentistry,prodentny.com,+1 212-213-6622,"220 Madison Ave B, New York, NY 10016, United States","P2X9+R6 New York, USA", New York,NY,5.0,32
63,Dental Visits LLC,dentalvisits.com,+1 212-697-0939,"30 E 40th St #604, New York, NY 10016, United States","Q22C+F4 New York, USA", New York,NY,5.0,1
64,NY Dental - Arman Roksar DDS PLLC,nydental.com,+1 212-786-5747,"220 Riverside Blvd, New York, NY 10069, United States","Q2H7+W5 New York, USA", New York,NY,4.9,126
65,Manhattan Dental Care,manhattandentalw79.com,+1 212-580-4790,"127 W 79th St, New York, NY 10024, United States","Q2MF+3C New York, USA", New York,NY,4.9,81
66,Tend Dental Rockefeller Center,hellotend.com,+1 212-406-3686,"12 W 48th St 4th Floor, New York, NY 10036, United States","Q25C+29 New York, USA", New York,NY,4.5,205
67,Bowery Dental,bowerydental.com,+1 917-388-3678,"145 Canal St 2nd fl, New York, NY 10002, United States","P283+HQ New York, USA", New York,NY,4.8,89
68,Columbus Circle Dental,columbuscircledental.com,+1 212-246-3200,"30 W 60th St #1gh, New York, NY 10023, United States","Q298+MG New York, USA", New York,NY,5.0,603
70,Smile Design Manhattan,smiledesignmanhattan.com,+1 646-278-4579,"37 W 57th St, New York, NY 10019, United States","Q27F+JJ New York, USA", New York,NY,5.0,462
71,Linhart Dentistry,drlinhart.com,+1 212-682-5180,"230 Park Ave #1164, New York, NY 10169, United States","Q23F+RC New York, USA", New York,NY,5.0,244
72,"Helma Philips, DDS: Midtown Manhattan Dentistry",midtowndentistnewyork.com,+1 212-644-0004,"509 Madison Ave #702, New York, NY 10022, United States","Q25G+Q9 New York, USA", New York,NY,4.9,126
73,Dentistry For Health New York,dentistryforhealthny.com,+1 917-477-7771,"120 East 56th Street 12th Floor, 120 E 56th St #12, New York, NY 10022, United States","Q26H+5P New York, USA", New York,NY,4.9,203
74,Midtown Dental Group,midtowndentalgroup.com,+1 212-730-4440,"Street Level, 241 W 37th St Ground Floor, New York, NY 10018, United States","Q235+GJ New York, USA", New York,NY,4.9,398
75,FaktorDMD Cosmetic Dentistry & Implants - NYC,faktordmd.com,+1 917-563-2929,"18 E 50th St Floor 7, New York, NY 10022, United States","Q25F+7C New York, USA", New York,NY,5.0,123
76,One Manhattan Dental - Robert Raimondi DDS,onemanhattandental.com,+1 212-223-3632,"800a 5th Ave #501, New York, NY 10065, United States","Q28H+79 New York, USA", New York,NY,5.0,114
77,Empire Dental NY PC,empiredentalny.com,+1 718-377-3222,"980 E 12th St, Brooklyn, NY 11230, United States","J2GP+45 New York, USA", Brooklyn,NY,4.9,724
78,House Call Dentists,housecalldentists.com,+1 646-461-1295,"150 E 58th St, New York, NY 10155, United States","Q26J+CQ New York, USA", New York,NY,5.0,1
79,"A Happy Smile Dental Office, PC",,+1 315-493-9393,"33054 State Rte 26, Carthage, NY 13619, United States",, Carthage,NY,4.1,19
80,Midtown Dental Group Grand Central,midtowndentalgroup.com,+1 212-972-1085,"20 E 46th St #803, New York, NY 10017, United States",, New York,NY,4.9,207
81,Pine Bush Dental Group,smilesinorangecounty.com,+1 845-744-5422,"2412 NY-52, Pine Bush, NY 12566, United States","JP44+C6 Pine Bush, New York, USA", Pine Bush,NY,4.8,471
